Symptom,Disease,Disease group (English name),Disease group (Sinhala name),Dosha types
Fever,Jvara,Endogenous,Nija Roga,Pitta
Chills with fever,Jvara,Endogenous,Nija Roga,Vata and Pitta
Sweating,Jvara,Endogenous,Nija Roga,Pitta
Thirst with fever,Jvara,Endogenous,Nija Roga,Pitta
Loss of appetite,Ajeerna,Endogenous,Nija Roga,Kapha
Abdominal bloating,Ajeerna,Endogenous,Nija Roga,Vata
Indigestion,Ajeerna,Endogenous,Nija Roga,Kapha
Nausea,Ajeerna,Endogenous,Nija Roga,Pitta and Kapha
Vomiting,Chhardi,Endogenous,Nija Roga,Pitta
Acid reflux,Amlapitta,Endogenous,Nija Roga,Pitta
Burning chest sensation,Amlapitta,Endogenous,Nija Roga,Pitta
Sour belching,Amlapitta,Endogenous,Nija Roga,Pitta
Epigastric pain,Amlapitta,Endogenous,Nija Roga,Pitta
Loose stools,Atisara,Endogenous,Nija Roga,Vata and Pitta
Watery diarrhea,Atisara,Endogenous,Nija Roga,Pitta
Abdominal cramps,Atisara,Endogenous,Nija Roga,Vata
Mucus in stools,Atisara,Endogenous,Nija Roga,Kapha
Chronic diarrhea,Grahani,Endogenous,Nija Roga,Vata and Pitta
Undigested food in stool,Grahani,Endogenous,Nija Roga,Vata
Weight loss with diarrhea,Grahani,Endogenous,Nija Roga,Vata and Pitta
Frequent urination,Prameha,Endogenous,Nija Roga,Kapha
Sweet-smelling urine,Prameha,Endogenous,Nija Roga,Kapha
Cloudy urine,Prameha,Endogenous,Nija Roga,Kapha
Excessive thirst,Prameha,Endogenous,Nija Roga,Pitta
Fatigue,Prameha,Endogenous,Nija Roga,Kapha
Blurred vision,Prameha,Endogenous,Nija Roga,Kapha
Slow wound healing,Prameha,Endogenous,Nija Roga,Kapha
Skin itching,Prameha,Endogenous,Nija Roga,Pitta
Obesity,Sthoulya,Endogenous,Nija Roga,Kapha
Lethargy,Sthoulya,Endogenous,Nija Roga,Kapha
Excessive sweating,Sthoulya,Endogenous,Nija Roga,Kapha
Breathlessness with exertion,Sthoulya,Endogenous,Nija Roga,Kapha
High cholesterol,Sthoulya,Endogenous,Nija Roga,Kapha
Thin body frame,Karshya,Endogenous,Nija Roga,Vata
Weakness,Karshya,Endogenous,Nija Roga,Vata
Loss of muscle mass,Karshya,Endogenous,Nija Roga,Vata
Dull skin,Karshya,Endogenous,Nija Roga,Vata
Dry hair,Karshya,Endogenous,Nija Roga,Vata
Joint stiffness,Amavata,Endogenous,Nija Roga,Vata and Kapha
Joint pain,Amavata,Endogenous,Nija Roga,Vata
Swelling of joints,Amavata,Endogenous,Nija Roga,Kapha
Morning stiffness,Amavata,Endogenous,Nija Roga,Kapha
Restricted joint movement,Amavata,Endogenous,Nija Roga,Vata
Low back pain,Katigraha,Endogenous,Nija Roga,Vata
Sciatica pain,Gridhrasi,Endogenous,Nija Roga,Vata
Radiating leg pain,Gridhrasi,Endogenous,Nija Roga,Vata
Numbness in legs,Gridhrasi,Endogenous,Nija Roga,Vata
Headache,Shiroroga,Endogenous,Nija Roga,Vata and Pitta
Migraine,Ardhavabhedaka,Endogenous,Nija Roga,Vata and Pitta
One-sided headache,Ardhavabhedaka,Endogenous,Nija Roga,Vata
Nausea with headache,Ardhavabhedaka,Endogenous,Nija Roga,Pitta
Eye strain,Shiro-Roga,Endogenous,Nija Roga,Vata
Anemia,Pandu,Endogenous,Nija Roga,Pitta
Pale skin,Pandu,Endogenous,Nija Roga,Pitta
Shortness of breath,Pandu,Endogenous,Nija Roga,Vata and Pitta
Dizziness,Pandu,Endogenous,Nija Roga,Vata
Weak nails,Pandu,Endogenous,Nija Roga,Pitta
Bleeding gums,Raktapitta,Endogenous,Nija Roga,Pitta
Nosebleeds,Raktapitta,Endogenous,Nija Roga,Pitta
Blood in stool,Raktapitta,Endogenous,Nija Roga,Pitta
